County,description,Symptoms_mental_illness,Unarmed_Armed,Alleged_Threat_Level,Fleeing,Body_Camera,Geography
Litchfield,"Police had been called to a disturbance, police said. When they arrived, officers encountered Reyes, who had a knife. Reyes approached the officers, ignoring their orders to stop. He was shot and killed.",No,Allegedly Armed,other,Not fleeing,No,Suburban
Cook,"Two officers responded to a call of an armed robbery at a gas and saw a man pointing a pistol at someone outside the business, according to police. Both officers drew their weapons, and when the robber saw them, he pointed his gun at them. The officers shot and killed Johnson.",No,Allegedly Armed,attack,Not fleeing,No,Suburban
Jackson,"Two officers responded to a call regarding a domestic disturbance. Shortly after arriving, police opened fire on a man outside of the house. The man died from a gunshot wound. A neighbor said the man who was shot after he threatened police with a baseball bat.",Yes,Allegedly Armed,attack,Not fleeing,No,Rural
Pinellas,"Bogusiewicz shot his son after having an argument with his wife. When police arrived, he began shooting at them and was shot and killed.",Drug or alcohol use,Allegedly Armed,attack,Not fleeing,No,Suburban
Maricopa,"Police received a call from someone out of state asking them to check on the residents of a home in Buckeye, according to police. The caller said a man at the home had shot a woman. Multiple law-enforcement agencies responded. When they arrived, someone shot at them, according to Buckeye police, and officers returned fire. Police reported a man dead at the scene, but officials would not confirm whether he had been hit by police or whether the gunshot wounds were self-inflicted.",No,Allegedly Armed,attack,Not fleeing,No,Suburban
Fresno,"Fresno Police said officers tried pulling the man over for speeding. When the driver pulled over at the Chevron gas station, police said he didn't comply with officers' commands to show his hands. Officers felt the man was reaching for a weapon, so they shot and killed him. No weapon was found on the suspect.",Yes,Unarmed/Did Not Have an Actual Weapon,other,Car,Yes,Suburban
Hall,"Guardiola fled a roadway check point. The chase ended on Industrial Boulevard near Queen City Parkway when troopers tried to block the SUV, and there was an accident. Authorities said the vehicle occupants took off on foot. Sgt. Allen caught up with Guardiola at a creek, where authorities said Guardiola tried to drown the trooper. And he was shot and killed.",No,Unarmed/Did Not Have an Actual Weapon,attack,Other,No,Suburban
Hillsborough,"Deputies Austin O'Neill and Joshua Berrios responded to an apartment the couple shared after the 24-year-old woman reported that Valladares pulled her hair and ripped her robe during an argument, police said. While they were interviewing her, the woman's mother told the deputies she saw Valladares in the parking lot. Valladares became verbally aggressive as the deputies approached him. He then pulled out a Smith & Wesson .40-claiber handgun from his pocket and raised it up. O'Neill and Berrios drew their guns and shot Valladares. He died on July 24.",No,Allegedly Armed,attack,Not fleeing,No,Suburban
Passaic,"Two police were walking toward Miranda when he began firing at them, police said. He was shot and killed.",No,Allegedly Armed,attack,Not fleeing,No,Urban
Fort Bend,Christy was shot and killed by a Fulshear Police officer after she opened fire on her two daughters. One of the woman's daughters was pronounced dead on the scene. The other was taken to the hospital by Life Flight in critical condition where she later died.,Yes,Allegedly Armed,attack,Not fleeing,No,Suburban
Washington,"Emergency responders were called to Neal Street in Farmington, on a report of a home on fire. The Washington County Sheriff's Office said officers and deputies arrived on scene to find a man in a home holding a pistol and rifle. The sheriff's office said the man exited the home, which was on fire, and fired his guns at officers. He was shot and killed.",Unknown,Allegedly Armed,attack,Not fleeing,No,Suburban
Oklahoma,"Chavez-Angles was wanted for vandalism. Police say he forced his way into a car with two women inside. He made them drive off but later got out of the car. Officers say Chavez eventually ran onto a city bus where he was confronted by an Oklahoma City Police officer, Heather Lane. Chavez reached for officer Lane's gun and the two got into a fight for Lane's weapon. Officer Daniel Carli came to her aid, and he shot and killed Chavez.",Yes,Unarmed/Did Not Have an Actual Weapon,other,Other,No,Urban
Milwaukee,"Little has been released about this death. Apparently, he was in his car after hours when police approached. He was shot and killed.",No,Allegedly Armed,other,Not fleeing,Yes,Suburban
Grant,New Mexico State Police officers were assisting the Grant County Sheriff's Department with a call involving a male subject with a firearm at a residence. A NMSP officer shot and killed Herrera.,No,Allegedly Armed,undetermined,Not fleeing,No,Rural
St. Clair,"Police said they were called to the West Pheasantwood Apartments. When officers approached the scene, they say Brown had a gun in his hand started running. When officers caught up to him, there was a confrontation, and officers shot and killed him.",Unknown,Allegedly Armed,attack,Foot,No,Suburban
El Paso,"Colorado Springs police fatally shot Williams after he approached officers with an alcoholic beverage in one hand and a handgun in the other, police said. The man was shot and killed after he pointed his gun at the officer and refused to obey a command to drop it.",Drug or alcohol use,Allegedly Armed,attack,Not fleeing,No,Suburban
Austin,"Two Austin County Sheriff's Office deputies and one Bellville Police Department officer responded to a report of a male individual with a gun at a trailer house, police said. Officers shot and killed Walke after he pointed a weapon toward them.",No,Allegedly Armed,attack,Not fleeing,Yes,Rural
Palm Beach,"Two deputies arrived at a residence to escort a woman, who was living at a safe house, to gather belongings at the home. A man at the home attacked the deputies with two butcher knives, and he was shot and killed.",No,Allegedly Armed,other,Not fleeing,No,Suburban
DeSoto,Splunge fired on police and engaged in a standoff before he was shot and killed in a bank parking lot.,No,Allegedly Armed,attack,Foot,No,Rural
Genesee,"Richardson was accused of a double stabbing, refused to put down a knife when police attempted to arrest him. He was tasered and died.",No,Allegedly Armed,attack,Not fleeing,,Urban
Fulton,"An off-duty Atlanta police officer was patrolling the parking lot of a Monroe Drive apartment complex when he spotted a man suspected of breaking into cars, police said. The off-duty officer, whose name was not released, called for an additional officers and ran after the suspect, but was unable to catch him. Rogers was able to run from the officer and got into a silver car as on-duty officers arrived at the scene, police said. Officers attempted to stop Rogers, but he continued driving. One of the on-duty officers shot and killed Rogers.",No,Unarmed/Did Not Have an Actual Weapon,undetermined,Other,No,Urban
Jefferson,"A deputy noticed an SUV near an apartment complex with two drivers inside acting suspicious. The deputy tried to pull over the SUV, but the driver sped away to Interstate 20. The deputy followed the SUV as other law enforcement agencies joined the chase and stayed behind the SUV until it stopped on Oporto-Madrid Boulevard. Deputies shot and killed Core when the SUV started rolling toward them.",No,Vehicle,attack,Car,No,Suburban
