Victim_age,Victim_gender,Victim_race,Date ,County,Agency_responsible_death,Cause_death
24,Male,Hispanic,2017-05-07 00:00:00,San Diego,San Diego County Sheriff's Department,Gunshot
28,Male,Hispanic,2017-04-07 00:00:00,Bernalillo,Bernalillo County Sheriff's Office,Gunshot
30,Male,Hispanic,2017-04-07 00:00:00,Adams,Federal Heights Police Department,Gunshot
36,Male,Black,2017-04-07 00:00:00,Montgomery,Ohio State Highway Patrol,Gunshot
39,Male,White,2017-04-07 00:00:00,St. Clair,Belleville Police Department,Gunshot
46,Male,White,2017-04-07 00:00:00,Benton,Benton County Sheriff's Office,Gunshot
53,Male,Native American,2017-04-07 00:00:00,Montezuma,Montezuma County Sheriff's Office,Gunshot
32,Male,White,2017-04-07 00:00:00,Davis,Centerville Police Department,Gunshot
25,Male,White,2017-03-07 00:00:00,Washington,Hillsboro Police Department,Gunshot
30,Male,Black,2017-03-07 00:00:00,Glynn,Brunswick Police Department,Gunshot
42,Male,Black,2017-03-07 00:00:00,Contra Costa,Antioch Police Department,Gunshot
45,Male,White,2017-03-07 00:00:00,Houston,Houston County Sheriff's Office,Gunshot
51,Male,White,2017-03-07 00:00:00,Hamilton,Fishers Police Department,Gunshot
53,Male,White,2017-03-07 00:00:00,Spokane,Spokane Police Department,Gunshot
39,Male,White,2017-02-07 00:00:00,Norfolk City,Norfolk Police Department,Gunshot
19,Male,White,2017-01-07 00:00:00,Larimer,"Colorado State University Police Department, Fort Collins Police Services",Gunshot
23,Male,Hispanic,2017-01-07 00:00:00,Maricopa,Glendale Police Department,Gunshot
37,Male,Black,2017-01-07 00:00:00,Cook,Chicago Police Department,Gunshot
Unknown,Male,Unknown race,2017-01-07 00:00:00,Miami-Dade,Miami Police Department,Physical Restraint
32,Female,Hispanic,30/06/2017,Denver,"Littleton Police Department, Englewood Police Department",Gunshot
33,Male,Hispanic,30/06/2017,Adams,Westminster Police Department,Gunshot
23,Male,White,30/06/2017,Larimer,Larimer County Sheriff's Office,Gunshot
37,Male,Hispanic,29/06/2017,Volusia,Volusia County Sheriff's Office,Gunshot
41,Male,Hispanic,29/06/2017,Los Angeles,South Pasadena Police Department,Gunshot
45,Male,Black,29/06/2017,Marion,Indianapolis Metropolitan Police Department,Gunshot
23,Male,Black,29/06/2017,Cobb,Cobb County Sheriff's Office,Gunshot
Unknown,Male,Hispanic,28/06/2017,Los Angeles,Los Angeles Police Department,Gunshot
37,Male,Black,28/06/2017,Davidson,Robertson County Sheriff's Office,Gunshot
35,Male,Hispanic,27/06/2017,Potter,Amarillo Police Department,"Gunshot, Taser"
24,Male,Black,25/06/2017,Oklahoma,Oklahoma City Police Department,Gunshot
36,Male,Hispanic,25/06/2017,San Miguel,New Mexico State Police,Gunshot
47,Male,White,25/06/2017,Maricopa,Phoenix Police Department,Gunshot
56,Male,White,25/06/2017,Clark,Las Vegas Metropolitan Police Department,Gunshot
56,Male,Black,25/06/2017,Charleston,North Charleston Police Department,Gunshot
37,Male,White,24/06/2017,Lane,Lane County Sheriff's Office,Gunshot
47,Male,White,24/06/2017,Tulsa,Tulsa Police Department,Gunshot
20,Male,Black,24/06/2017,King,Kent Police Department,Gunshot
Unknown,Male,White,24/06/2017,Washington,Washington County Sheriff's Office,Gunshot
34,Male,Hispanic,23/06/2017,Maricopa,Phoenix Police Department,Gunshot
20,Male,Hispanic,22/06/2017,Los Angeles,Los Angeles Police Department,Gunshot
17,Male,Hispanic,22/06/2017,Los Angeles,Los Angeles County Sheriff's Department,Gunshot
37,Male,Hispanic,21/06/2017,McCurtain,"McCurtain County Sheriff's Office, Valliant Police Department",Gunshot
33,Male,White,21/06/2017,Vernon,Vernon County Sheriff's Office,Gunshot
28,Male,Hispanic,20/06/2017,Clark,Las Vegas Metropolitan Police Department,"Gunshot, Taser"
32,Male,White,20/06/2017,Butler,Butler County Sheriff's Office,Gunshot
40,Male,White,20/06/2017,Williamson,Williamson County Sheriff's Office,Gunshot
50,Male,White,20/06/2017,Marion,Marion County Sheriff's Office,Gunshot
36,Male,Hispanic,20/06/2017,Los Angeles,South Gate Police Department,Gunshot
21,Male,Native American,19/06/2017,Fairbanks North Star,Fairbanks Police Department,Gunshot
28,Male,White,19/06/2017,Dallas,Dallas Police Department,Gunshot
30,Female,Black,18/06/2017,King,Seattle Police Department,Gunshot
64,Male,White,18/06/2017,Waukesha,Waukesha Police Department,Gunshot
30,Male,Hispanic,18/06/2017,Hidalgo,Edinburg Police Department,Asphyxiated
48,Male,White,17/06/2017,Pennington,Rapid City Police Department,Gunshot
28,Female,Hispanic,17/06/2017,Los Angeles,Montebello Police Department,Gunshot
30,Male,Hispanic,16/06/2017,San Bernardino,Rialto Police Department,Gunshot
32,Male,Hispanic,16/06/2017,Madera,Madera Police Department,Gunshot
37,Male,White,16/06/2017,Contra Costa,Antioch Police Department,Gunshot
41,Male,White,16/06/2017,Yalobusha,Yalobusha County Sheriff's Office,Gunshot
24,Female,White,16/06/2017,Yalobusha,Yalobusha County Sheriff's Office,Gunshot
25,Male,Black,16/06/2017,Tuscaloosa,Tuscaloosa County Sheriff's Office,Taser
40,Male,White,15/06/2017,Rockingham,Massachusetts State Police,Gunshot
54,Male,White,14/06/2017,Fayette,Somerville Police Department,"Gunshot, Unspecified Less Lethal Weapon"
66,Male,White,14/06/2017,Alexandria City,United States Capitol Police,Gunshot
20,Male,Asian,14/06/2017,King,King County Sheriff's Office,"Gunshot, Taser"
24,Male,White,13/06/2017,Jersey,Jerseyville Police Department,Gunshot
33,Male,Black,13/06/2017,St. Louis,St. Louis Metropolitan Police Department,Gunshot
36,Male,Black,13/06/2017,East Baton Rouge,Baton Rouge Police Department,Gunshot
36,Male,White,13/06/2017,Rockingham,New Hampshire Department of Safety,Gunshot
19,Male,Black,13/06/2017,Milwaukee,Milwaukee County Sheriff's Office,Gunshot
35,Male,Black,2017-12-06 00:00:00,Lafayette,St. Martin Parish Sheriff's Office,Gunshot
45,Male,Hispanic,2017-12-06 00:00:00,Fresno,Selma Police Department,"Gunshot, Taser"
50,Male,White,2017-12-06 00:00:00,Knox,Knox County Sheriff's Office,Gunshot
63,Male,Hispanic,2017-12-06 00:00:00,Collin,Plano Police Department,Gunshot
60,Male,White,2017-11-06 00:00:00,Taylor,Taylor County Sheriff's Office,Gunshot
25,Male,Pacific Islander,2017-10-06 00:00:00,King,Auburn Police Department,Gunshot
53,Male,White,2017-10-06 00:00:00,Iowa,Iowa County Sheriff's Office,Gunshot
82,Male,White,2017-10-06 00:00:00,Miami-Dade,Miami-Dade Police Department,Gunshot
29,Male,Black,2017-09-06 00:00:00,Tulsa,"Tulsa County Sheriff's Office, Tulsa Police Department","Gunshot, Taser"
44,Male,Hispanic,2017-09-06 00:00:00,Cook,Illinois State Police,Gunshot
32,Male,Black,2017-08-06 00:00:00,Philadelphia,Philadelphia Police Department,"Gunshot, Taser"
33,Female,White,2017-08-06 00:00:00,Los Angeles,California Highway Patrol,Gunshot
38,Male,Hispanic,2017-08-06 00:00:00,Cameron,Cameron County Sheriff's Office,Gunshot
45,Male,Hispanic,2017-08-06 00:00:00,Kern,Ridgecrest Police Department,Gunshot
48,Male,White,2017-08-06 00:00:00,Larimer,Loveland Police Department,Gunshot
57,Male,White,2017-08-06 00:00:00,Sequoyah,Cherokee Nation Marshal Service,Gunshot
21,Male,Hispanic,2017-07-06 00:00:00,Fresno,Fresno Police Department,Gunshot
21,Male,White,2017-07-06 00:00:00,St. Louis,St. Louis Metropolitan Police Department,Gunshot
35,Male,White,2017-07-06 00:00:00,Baltimore,Baltimore County Police Department,Gunshot
54,Male,White,2017-07-06 00:00:00,Penobscot,Maine State Police,Gunshot
75,Male,White,2017-07-06 00:00:00,Caldwell,Caldwell County Sheriff's Office,Gunshot
50,Male,Unknown race,2017-06-06 00:00:00,Clark,Vancouver Police Department,Gunshot
20,Male,Hispanic,2017-06-06 00:00:00,Los Angeles,Los Angeles Police Department,Gunshot
34,Male,White,2017-05-06 00:00:00,Polk,Polk County Sheriff's Office,Gunshot
37,Male,Black,2017-05-06 00:00:00,Lavaca,Texas Department of Public Safety,Gunshot
45,Male,White,2017-05-06 00:00:00,Nelson,Kentucky State Police,Gunshot
47,Male,Black,2017-05-06 00:00:00,Miami-Dade,Miami-Dade Police Department,Gunshot
29,Male,Native American,2017-05-06 00:00:00,Douglas,Omaha Police Department,Taser
27,Male,White,2017-04-06 00:00:00,Nassau,Nassau County Sheriff's Office,Gunshot
66,Male,White,2017-04-06 00:00:00,San Diego,San Diego County Sheriff's Department,Gunshot
Unknown,Male,Unknown race,2017-04-06 00:00:00,Wayne,Detroit Police Department,Gunshot
44,Male,White,2017-03-06 00:00:00,Maricopa,Avondale Police Department,Gunshot
17,Male,Black,2017-02-06 00:00:00,Cook,Chicago Police Department,Gunshot
18,Male,Asian,2017-02-06 00:00:00,Tulsa,Tulsa Police Department,Gunshot
29,Male,Black,2017-02-06 00:00:00,Henry,Henry County Sheriff's Office,Gunshot
55,Male,Hispanic,2017-02-06 00:00:00,Webb,Laredo Police Department,Gunshot
34,Male,Black,2017-02-06 00:00:00,Forrest,Petal Police Department,Gunshot
45,Male,Hispanic,2017-02-06 00:00:00,Bernalillo,Albuquerque Police Department,Taser
51,Male,White,2017-02-06 00:00:00,Nassau,Nassau County Sheriff's Office,Gunshot
27,Male,Hispanic,2017-01-06 00:00:00,Clark,Las Vegas Metropolitan Police Department,Gunshot
17,Male,White,31/05/2017,Arapahoe,Arapahoe County Sheriff's Office,Gunshot
24,Male,White,31/05/2017,San Bernardino,"California Highway Patrol, Fontana Police Department",Gunshot
37,Male,White,29/05/2017,York,York County Sheriff's Office,Gunshot
63,Male,Unknown race,29/05/2017,Berkeley,Berkeley County Sheriff's Office,Gunshot
20,Male,Hispanic,29/05/2017,Solano,Vacaville Police Department,Gunshot
21,Male,Hispanic,28/05/2017,Miami-Dade,Miami-Dade Police Department,Gunshot
22,Male,Black,28/05/2017,Wake,Cary Police Department,Gunshot
31,Male,White,28/05/2017,Jackson,Jackson County Sheriff's Office,Gunshot
Unknown,Male,Hispanic,28/05/2017,Santa Clara,San Jose Police Department,"Gunshot, Taser"
71,Male,White,27/05/2017,Waldo,Belfast Police Department,Taser
Unknown,Male,Hispanic,27/05/2017,Cobb,Cobb County Police Department,Gunshot
30,Male,White,27/05/2017,Scott,"Oneida Police Department, Scott County Sheriff's Department",Gunshot
15,Male,Black,26/05/2017,Los Angeles,U.S. Customs and Border Protection,Gunshot
33,Male,Black,26/05/2017,St. Louis,St. Louis Metropolitan Police Department,Gunshot
34,Male,White,26/05/2017,Pima,Tucson Police Department,Gunshot
59,Male,Hispanic,26/05/2017,Cibola,Albuquerque Police Department,Gunshot
23,Male,White,25/05/2017,Fairbanks North Star,"Fairbanks Police Department, Alaska State Trooper",Gunshot
22,Male,Black,25/05/2017,Milwaukee,West Milwaukee Police Department,Taser
59,Male,White,24/05/2017,San Mateo,South San Francisco Police Department,Gunshot
Unknown,Male,Hispanic,24/05/2017,Los Angeles,Los Angeles County Sheriff's Department,Gunshot
24,Male,White,24/05/2017,Stark,Canton Police Department,Gunshot
21,Male,Hispanic,23/05/2017,Maricopa,Glendale Police Department,"Gunshot, Taser"
31,Male,White,23/05/2017,Elmore,Elmore County Sheriff's Office,Gunshot
65,Male,White,23/05/2017,Nye,Nye County Sheriff's Office,Gunshot
74,Male,White,23/05/2017,Knox,Knox County Sheriff's Office,Gunshot
38,Male,White,22/05/2017,Suffolk,Chelsea Police Department,Gunshot
43,Male,Black,22/05/2017,New Castle,Delaware State Police,Gunshot
43,Male,White,21/05/2017,Lehigh,Allentown Police Department,Gunshot
24,Male,Black,21/05/2017,Sabine,Converse Police Department,Gunshot
33,Male,Black,21/05/2017,Outagamie,Appleton Police Department,Gunshot
37,Male,Hispanic,21/05/2017,Okeechobee,Osceola County Sheriff's Office,Gunshot
54,Male,Black,20/05/2017,San Diego,San Diego County Sheriff's Department,Taser
58,Male,White,20/05/2017,Alameda,Pleasanton Police Department,Gunshot
47,Male,White,20/05/2017,Northampton,Pennsylvania State Police,Gunshot
18,Male,Black,19/05/2017,Maricopa,Glendale Police Department,Gunshot
65,Male,White,19/05/2017,Kennebec,Kennebec County Sheriff's Office,Gunshot
22,Male,Black,18/05/2017,Muscogee,Columbus Police Department,Vehicle
28,Male,White,18/05/2017,Arlington,Arlington County Police Department,Gunshot
17,Male,Black,17/05/2017,Cook,Cook County Sheriff's Office,Gunshot
24,Male,Hispanic,16/05/2017,Orange,Tustin Police Department,Gunshot
25,Male,Black,16/05/2017,Maricopa,Tempe Police Department,Gunshot
38,Male,White,16/05/2017,Missoula,"Broadwater County Sheriff's Office, Gallatin County Sheriff's Office, Montana Highway Patrol",Gunshot
41,Female,White,16/05/2017,District of Columbia,DC Metropolitan Police Department,Gunshot
22,Male,Hispanic,15/05/2017,Los Angeles,Los Angeles Police Department,Gunshot
27,Female,Black,15/05/2017,Maricopa,Phoenix Police Department,Gunshot
29,Male,Black,15/05/2017,Chesterfield,Richmond Police Department,Gunshot
34,Male,Hispanic,15/05/2017,San Diego,San Diego County Sheriff's Department,Gunshot
47,Male,White,15/05/2017,Washington,Carter County Sheriff's Office,Gunshot
48,Male,White,15/05/2017,Seminole,"Seminole County Sheriff's Office, Oklahoma Highway Patrol",Gunshot
41,Male,Hispanic,14/05/2017,Mohave,Kingman Police Department,Gunshot
48,Male,White,14/05/2017,Pulaski,"Pulaski Police Department, Pulaski County Sheriff's Office",Gunshot
40,Male,Black,14/05/2017,Clark,Las Vegas Metropolitan Police Department,Physical Restraint
21,Male,Black,13/05/2017,Kane,North Aurora Police Department,Gunshot
37,Male,White,13/05/2017,Milwaukee,"West Allis Police Department, New Berlin Police Department",Gunshot
41,Male,Black,13/05/2017,Boone,Columbia Police Department,Gunshot
48,Male,White,13/05/2017,Hancock,Greenfield Police Department,Taser
27,Male,Hispanic,2017-12-05 00:00:00,Harris,Harris County Sheriff's Office,Gunshot
30,Male,White,2017-12-05 00:00:00,Yellowstone,Billings Police Department,Gunshot
46,Male,White,2017-12-05 00:00:00,Palm Beach,Palm Beach County Sheriff's Office,Gunshot
51,Male,Black,2017-12-05 00:00:00,Philadelphia,Philadelphia Police Department,"Gunshot, Taser"
35,Male,White,2017-12-05 00:00:00,Baldwin,Baldwin County Sheriff's Office,Gunshot
41,Male,White,2017-12-05 00:00:00,Sonoma,Rohnert Park Police Department,Taser
Unknown,Male,Hispanic,2017-11-05 00:00:00,Tarrant,Arlington Police Department,Gunshot
24,Male,Black,2017-10-05 00:00:00,Multnomah,Portland Police Bureau,Gunshot
50,Female,Black,2017-10-05 00:00:00,St. Louis,St. Louis Metropolitan Police Department,Gunshot
50,Male,White,2017-10-05 00:00:00,San Diego,San Diego County Sheriff's Department,"Gunshot, Taser"
25,Male,Black,2017-09-05 00:00:00,Duval,Jacksonville Sheriff's Office,Gunshot
34,Male,White,2017-09-05 00:00:00,Seneca,"Tiffin Police Department, Seneca County Sheriff's Office",Gunshot
40,Male,White,2017-09-05 00:00:00,Adams,Westminster Police Department,Gunshot
36,Male,White,2017-09-05 00:00:00,Livingston,"Michigan State Police, Livingston County Sheriff's Office",Gunshot
39,Male,White,2017-09-05 00:00:00,Lexington,Lexington County Sheriff's Office,Gunshot
15,Male,Hispanic,2017-09-05 00:00:00,Fairfield,Bridgeport Police Department,Gunshot
29,Male,White,2017-08-05 00:00:00,Los Angeles,Los Angeles Police Department,Gunshot
32,Male,Black,2017-08-05 00:00:00,Sacramento,Sacramento County Sheriff's Department,"Gunshot, Police Dog"
24,Male,Black,2017-07-05 00:00:00,Travis,Austin Police Department,Gunshot
26,Male,Hispanic,2017-07-05 00:00:00,Erie,Buffalo Police Department,Gunshot
27,Male,Black,2017-07-05 00:00:00,Russell,Phenix City Police Department,Gunshot
25,Male,White,2017-06-05 00:00:00,Pinellas,Tarpon Springs Police Department,Gunshot
62,Male,White,2017-06-05 00:00:00,Clark,Las Vegas Metropolitan Police Department,Gunshot
15,Male,White,2017-06-05 00:00:00,San Diego,San Diego Police Department,Gunshot
25,Male,Black,2017-05-05 00:00:00,Norfolk,Braintree Police Department,Gunshot
54,Female,Hispanic,2017-04-05 00:00:00,Harris,"Harris County Sheriff's Office, Houston Police Department",Gunshot
27,Male,Hispanic,2017-04-05 00:00:00,Los Angeles,Whittier Police Department,Physical Restraint
18,Male,Black,2017-03-05 00:00:00,Kent,Grand Rapids Police Department,Gunshot
24,Male,White,2017-03-05 00:00:00,Santa Clara,San Jose Police Department,Gunshot
26,Male,White,2017-03-05 00:00:00,San Francisco,San Francisco Police Department,Gunshot
28,Male,Pacific Islander,2017-03-05 00:00:00,Santa Clara,San Jose Police Department,Gunshot
67,Male,White,2017-03-05 00:00:00,Fayette,Peachtree City Police Department,Gunshot
48,Male,Black,2017-02-05 00:00:00,Dallas,Irving Police Department,"Gunshot, Taser"
20,Male,Hispanic,2017-01-05 00:00:00,Travis,Austin Police Department,Gunshot
25,Male,White,2017-01-05 00:00:00,Montgomery,Conroe Police Department,Gunshot
32,Male,White,30/04/2017,McCurtain,McCurtain County Sheriff's Office,Gunshot
46,Male,Black,30/04/2017,Wayne,Detroit Police Department,Gunshot
49,Male,White,30/04/2017,San Diego,San Diego Police Department,Gunshot
24,Male,Black,29/04/2017,Essex,Jersey City Police Department,Gunshot
35,Male,Black,29/04/2017,Newport News City,Newport News Police Department,Gunshot
59,Male,White,29/04/2017,Hawaii,Hawaii Police Department,Gunshot
15,Male,Black,29/04/2017,Dallas,Balch Springs Police Department,Gunshot
33,Male,Hispanic,29/04/2017,Santa Fe,Santa Fe Police Department,Gunshot
25,Male,Hispanic,28/04/2017,San Mateo,California Highway Patrol,Gunshot
32,Male,Black,28/04/2017,Fulton,Federal Bureau of Investigation,Gunshot
26,Male,Black,27/04/2017,New Castle,"Federal Bureau of Investigation, New Castle County Sheriff's Office, Wilmington Police Department, Delaware State Police",Gunshot
53,Male,White,27/04/2017,Pennington,Rapid City Police Department,Gunshot
53,Male,White,26/04/2017,Mifflin,Lewistown Police Department,Gunshot
57,Male,Black,26/04/2017,Duval,Jacksonville Sheriff's Office,"Gunshot, Taser"
32,Male,White,26/04/2017,Franklin,Columbus Division of Police,Gunshot
23,Male,Black,25/04/2017,Essex,Newark Police Department,Gunshot
27,Male,Black,25/04/2017,Bibb,Bibb County Sheriff's Office,"Gunshot, Taser"
46,Male,White,25/04/2017,Angelina,"Angelina County Sheriff's Office, Texas Department of Public Safety, Nacogdoches Police Department, Nacogdoches County Sheriff's Office",Gunshot
52,Male,Hispanic,25/04/2017,Tarrant,Fort Worth Police Department,Gunshot
20,Female,White,25/04/2017,Cambria,"Cambria Township Police Department, Cambria County Sheriff's Office",Gunshot
20,Male,Hispanic,25/04/2017,Los Angeles,Long Beach Police Department,Gunshot
15,Male,Black,24/04/2017,Bell,Killeen Police Department,Gunshot
16,Male,Black,24/04/2017,Harris,"Houston Police Department, Texas Department of Public Safety",Gunshot
79,Male,White,24/04/2017,York,Pennsylvania State Police,Gunshot
35,Male,White,24/04/2017,Josephine,Oregon State Police,"Gunshot, Taser"
70,Male,White,23/04/2017,Yavapai,Prescott Police Department,Gunshot
24,Male,White,22/04/2017,Butler,Hamilton Police Department,Gunshot
43,Male,Asian,22/04/2017,Sutter,Yuba City Police Department,Gunshot
39,Male,Black,22/04/2017,Porter,Portage Police Department,Gunshot
